nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1415 (0.1414) xyz.shape=torch.Size([379776, 3]): :  35% 1665/4800 [06:11<09:59,  5.23it/s]
loss=0.1382 (0.1414) xyz.shape=torch.Size([383872, 3]): :  35% 1665/4800 [06:12<09:59,  5.23it/s]
loss=0.1382 (0.1414) xyz.shape=torch.Size([383872, 3]): :  35% 1666/4800 [06:12<09:32,  5.48it/s]
loss=0.1390 (0.1414) xyz.shape=torch.Size([380544, 3]): :  35% 1666/4800 [06:12<09:32,  5.48it/s]
loss=0.1390 (0.1414) xyz.shape=torch.Size([380544, 3]): :  35% 1667/4800 [06:12<13:09,  3.97it/s]
loss=0.1474 (0.1414) xyz.shape=torch.Size([382208, 3]): :  35% 1667/4800 [06:12<13:09,  3.97it/s]
loss=0.1474 (0.1414) xyz.shape=torch.Size([382208, 3]): :  35% 1668/4800 [06:12<11:53,  4.39it/s]
loss=0.1384 (0.1414) xyz.shape=torch.Size([375680, 3]): :  35% 1668/4800 [06:12<11:53,  4.39it/s]
loss=0.1384 (0.1414) xyz.shape=torch.Size([375680, 3]): :  35% 1669/4800 [06:12<10:51,  4.81it/s]
loss=0.1351 (0.1414) xyz.shape=torch.Size([381824, 3]): :  35% 1669/4800 [06:13<10:51,  4.81it/s]
loss=0.1351 (0.1414) xyz.shape=torch.Size([381824, 3]): :  35% 1670/4800 [06:13<10:07,  5.15it/s]
loss=0.1454 (0.1414) xyz.shape=torch.Size([370048, 3]): :  35% 1670/4800 [06:13<10:07,  5.15it/s]
loss=0.1454 (0.1414) xyz.shape=torch.Size([370048, 3]): :  35% 1671/4800 [06:13<09:36,  5.43it/s]
loss=0.1432 (0.1414) xyz.shape=torch.Size([382336, 3]): :  35% 1671/4800 [06:13<09:36,  5.43it/s]
loss=0.1432 (0.1414) xyz.shape=torch.Size([382336, 3]): :  35% 1672/4800 [06:13<13:01,  4.00it/s]
loss=0.1362 (0.1414) xyz.shape=torch.Size([386048, 3]): :  35% 1672/4800 [06:13<13:01,  4.00it/s]
loss=0.1362 (0.1414) xyz.shape=torch.Size([386048, 3]): :  35% 1673/4800 [06:13<11:39,  4.47it/s]
loss=0.1414 (0.1414) xyz.shape=torch.Size([374272, 3]): :  35% 1673/4800 [06:13<11:39,  4.47it/s]
loss=0.1414 (0.1414) xyz.shape=torch.Size([374272, 3]): :  35% 1674/4800 [06:13<10:40,  4.88it/s]
loss=0.1433 (0.1414) xyz.shape=torch.Size([379648, 3]): :  35% 1674/4800 [06:14<10:40,  4.88it/s]
loss=0.1433 (0.1414) xyz.shape=torch.Size([379648, 3]): :  35% 1675/4800 [06:14<10:03,  5.18it/s]
loss=0.1455 (0.1414) xyz.shape=torch.Size([383360, 3]): :  35% 1675/4800 [06:14<10:03,  5.18it/s]
loss=0.1455 (0.1414) xyz.shape=torch.Size([383360, 3]): :  35% 1676/4800 [06:14<09:33,  5.44it/s]
loss=0.1351 (0.1414) xyz.shape=torch.Size([382080, 3]): :  35% 1676/4800 [06:14<09:33,  5.44it/s]
loss=0.1351 (0.1414) xyz.shape=torch.Size([382080, 3]): :  35% 1677/4800 [06:14<09:12,  5.66it/s]
loss=0.1465 (0.1414) xyz.shape=torch.Size([372864, 3]): :  35% 1677/4800 [06:14<09:12,  5.66it/s]
loss=0.1465 (0.1414) xyz.shape=torch.Size([372864, 3]): :  35% 1678/4800 [06:14<12:33,  4.15it/s]
loss=0.1447 (0.1414) xyz.shape=torch.Size([380800, 3]): :  35% 1678/4800 [06:14<12:33,  4.15it/s]
loss=0.1447 (0.1414) xyz.shape=torch.Size([380800, 3]): :  35% 1679/4800 [06:14<11:18,  4.60it/s]
loss=0.1505 (0.1414) xyz.shape=torch.Size([375424, 3]): :  35% 1679/4800 [06:15<11:18,  4.60it/s]
loss=0.1505 (0.1414) xyz.shape=torch.Size([375424, 3]): :  35% 1680/4800 [06:15<10:26,  4.98it/s]
loss=0.1409 (0.1414) xyz.shape=torch.Size([376832, 3]): :  35% 1680/4800 [06:15<10:26,  4.98it/s]
loss=0.1409 (0.1414) xyz.shape=torch.Size([376832, 3]): :  35% 1681/4800 [06:15<09:50,  5.28it/s]
loss=0.1400 (0.1414) xyz.shape=torch.Size([367232, 3]): :  35% 1681/4800 [06:15<09:50,  5.28it/s]
loss=0.1400 (0.1414) xyz.shape=torch.Size([367232, 3]): :  35% 1682/4800 [06:15<09:23,  5.53it/s]
loss=0.1419 (0.1414) xyz.shape=torch.Size([366848, 3]): :  35% 1682/4800 [06:15<09:23,  5.53it/s]
loss=0.1419 (0.1414) xyz.shape=torch.Size([366848, 3]): :  35% 1683/4800 [06:15<12:42,  4.09it/s]
loss=0.1386 (0.1414) xyz.shape=torch.Size([370048, 3]): :  35% 1683/4800 [06:15<12:42,  4.09it/s]
loss=0.1386 (0.1414) xyz.shape=torch.Size([370048, 3]): :  35% 1684/4800 [06:15<11:24,  4.56it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([364032, 3]): :  35% 1684/4800 [06:16<11:24,  4.56it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([364032, 3]): :  35% 1685/4800 [06:16<10:29,  4.95it/s]
loss=0.1444 (0.1414) xyz.shape=torch.Size([363264, 3]): :  35% 1685/4800 [06:16<10:29,  4.95it/s]
loss=0.1444 (0.1414) xyz.shape=torch.Size([363264, 3]): :  35% 1686/4800 [06:16<09:51,  5.26it/s]
loss=0.1479 (0.1415) xyz.shape=torch.Size([370816, 3]): :  35% 1686/4800 [06:16<09:51,  5.26it/s]
loss=0.1479 (0.1415) xyz.shape=torch.Size([370816, 3]): :  35% 1687/4800 [06:16<09:25,  5.51it/s]
loss=0.1439 (0.1415) xyz.shape=torch.Size([371840, 3]): :  35% 1687/4800 [06:16<09:25,  5.51it/s]
loss=0.1439 (0.1415) xyz.shape=torch.Size([371840, 3]): :  35% 1688/4800 [06:16<12:41,  4.09it/s]
loss=0.1405 (0.1415) xyz.shape=torch.Size([367360, 3]): :  35% 1688/4800 [06:17<12:41,  4.09it/s]
loss=0.1405 (0.1415) xyz.shape=torch.Size([367360, 3]): :  35% 1689/4800 [06:17<11:23,  4.55it/s]
loss=0.1392 (0.1415) xyz.shape=torch.Size([369152, 3]): :  35% 1689/4800 [06:17<11:23,  4.55it/s]
loss=0.1392 (0.1415) xyz.shape=torch.Size([369152, 3]): :  35% 1690/4800 [06:17<10:33,  4.91it/s]
loss=0.1433 (0.1415) xyz.shape=torch.Size([365952, 3]): :  35% 1690/4800 [06:17<10:33,  4.91it/s]
loss=0.1433 (0.1415) xyz.shape=torch.Size([365952, 3]): :  35% 1691/4800 [06:17<09:59,  5.19it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([364032, 3]): :  35% 1691/4800 [06:17<09:59,  5.19it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([364032, 3]): :  35% 1692/4800 [06:17<09:34,  5.41it/s]
loss=0.1442 (0.1415) xyz.shape=torch.Size([369408, 3]): :  35% 1692/4800 [06:17<09:34,  5.41it/s]
loss=0.1442 (0.1415) xyz.shape=torch.Size([369408, 3]): :  35% 1693/4800 [06:17<12:56,  4.00it/s]
loss=0.1488 (0.1415) xyz.shape=torch.Size([371712, 3]): :  35% 1693/4800 [06:18<12:56,  4.00it/s]
loss=0.1488 (0.1415) xyz.shape=torch.Size([371712, 3]): :  35% 1694/4800 [06:18<11:37,  4.46it/s]
loss=0.1419 (0.1415) xyz.shape=torch.Size([368000, 3]): :  35% 1694/4800 [06:18<11:37,  4.46it/s]
loss=0.1419 (0.1415) xyz.shape=torch.Size([368000, 3]): :  35% 1695/4800 [06:18<10:41,  4.84it/s]
loss=0.1409 (0.1415) xyz.shape=torch.Size([366720, 3]): :  35% 1695/4800 [06:18<10:41,  4.84it/s]
loss=0.1409 (0.1415) xyz.shape=torch.Size([366720, 3]): :  35% 1696/4800 [06:18<10:01,  5.16it/s]
loss=0.1469 (0.1415) xyz.shape=torch.Size([369664, 3]): :  35% 1696/4800 [06:18<10:01,  5.16it/s]
loss=0.1469 (0.1415) xyz.shape=torch.Size([369664, 3]): :  35% 1697/4800 [06:18<09:34,  5.40it/s]
loss=0.1447 (0.1415) xyz.shape=torch.Size([364672, 3]): :  35% 1697/4800 [06:18<09:34,  5.40it/s]
loss=0.1447 (0.1415) xyz.shape=torch.Size([364672, 3]): :  35% 1698/4800 [06:18<12:52,  4.02it/s]
loss=0.1340 (0.1415) xyz.shape=torch.Size([365440, 3]): :  35% 1698/4800 [06:19<12:52,  4.02it/s]
loss=0.1340 (0.1415) xyz.shape=torch.Size([365440, 3]): :  35% 1699/4800 [06:19<11:33,  4.47it/s]
loss=0.1446 (0.1415) xyz.shape=torch.Size([356992, 3]): :  35% 1699/4800 [06:19<11:33,  4.47it/s]
loss=0.1446 (0.1415) xyz.shape=torch.Size([356992, 3]): :  35% 1700/4800 [06:19<10:35,  4.88it/s]
loss=0.1377 (0.1415) xyz.shape=torch.Size([356352, 3]): :  35% 1700/4800 [06:19<10:35,  4.88it/s]
loss=0.1377 (0.1415) xyz.shape=torch.Size([356352, 3]): :  35% 1701/4800 [06:19<09:55,  5.20it/s]
loss=0.1444 (0.1415) xyz.shape=torch.Size([354304, 3]): :  35% 1701/4800 [06:19<09:55,  5.20it/s]
loss=0.1444 (0.1415) xyz.shape=torch.Size([354304, 3]): :  35% 1702/4800 [06:19<09:25,  5.47it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([357120, 3]): :  35% 1702/4800 [06:20<09:25,  5.47it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([357120, 3]): :  35% 1703/4800 [06:20<12:44,  4.05it/s]
loss=0.1464 (0.1415) xyz.shape=torch.Size([365952, 3]): :  35% 1703/4800 [06:20<12:44,  4.05it/s]
loss=0.1464 (0.1415) xyz.shape=torch.Size([365952, 3]): :  36% 1704/4800 [06:20<11:29,  4.49it/s]
loss=0.1493 (0.1415) xyz.shape=torch.Size([355200, 3]): :  36% 1704/4800 [06:20<11:29,  4.49it/s]
loss=0.1493 (0.1415) xyz.shape=torch.Size([355200, 3]): :  36% 1705/4800 [06:20<10:39,  4.84it/s]
loss=0.1450 (0.1415) xyz.shape=torch.Size([365824, 3]): :  36% 1705/4800 [06:20<10:39,  4.84it/s]
loss=0.1450 (0.1415) xyz.shape=torch.Size([365824, 3]): :  36% 1706/4800 [06:20<10:05,  5.11it/s]
loss=0.1378 (0.1415) xyz.shape=torch.Size([365184, 3]): :  36% 1706/4800 [06:20<10:05,  5.11it/s]
loss=0.1378 (0.1415) xyz.shape=torch.Size([365184, 3]): :  36% 1707/4800 [06:20<09:39,  5.34it/s]
loss=0.1369 (0.1415) xyz.shape=torch.Size([360320, 3]): :  36% 1707/4800 [06:21<09:39,  5.34it/s]
loss=0.1369 (0.1415) xyz.shape=torch.Size([360320, 3]): :  36% 1708/4800 [06:21<12:58,  3.97it/s]
loss=0.1468 (0.1415) xyz.shape=torch.Size([353024, 3]): :  36% 1708/4800 [06:21<12:58,  3.97it/s]
loss=0.1468 (0.1415) xyz.shape=torch.Size([353024, 3]): :  36% 1709/4800 [06:21<11:39,  4.42it/s]
loss=0.1396 (0.1415) xyz.shape=torch.Size([358912, 3]): :  36% 1709/4800 [06:21<11:39,  4.42it/s]
loss=0.1396 (0.1415) xyz.shape=torch.Size([358912, 3]): :  36% 1710/4800 [06:21<10:43,  4.80it/s]
loss=0.1444 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1710/4800 [06:21<10:43,  4.80it/s]
loss=0.1444 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1711/4800 [06:21<10:03,  5.12it/s]
loss=0.1421 (0.1415) xyz.shape=torch.Size([354688, 3]): :  36% 1711/4800 [06:21<10:03,  5.12it/s]
loss=0.1421 (0.1415) xyz.shape=torch.Size([354688, 3]): :  36% 1712/4800 [06:21<09:35,  5.36it/s]
loss=0.1417 (0.1415) xyz.shape=torch.Size([362240, 3]): :  36% 1712/4800 [06:22<09:35,  5.36it/s]
loss=0.1417 (0.1415) xyz.shape=torch.Size([362240, 3]): :  36% 1713/4800 [06:22<13:01,  3.95it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([354304, 3]): :  36% 1713/4800 [06:22<13:01,  3.95it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([354304, 3]): :  36% 1714/4800 [06:22<11:38,  4.42it/s]
loss=0.1415 (0.1415) xyz.shape=torch.Size([355712, 3]): :  36% 1714/4800 [06:22<11:38,  4.42it/s]
loss=0.1415 (0.1415) xyz.shape=torch.Size([355712, 3]): :  36% 1715/4800 [06:22<10:40,  4.82it/s]
loss=0.1429 (0.1415) xyz.shape=torch.Size([351104, 3]): :  36% 1715/4800 [06:22<10:40,  4.82it/s]
loss=0.1429 (0.1415) xyz.shape=torch.Size([351104, 3]): :  36% 1716/4800 [06:22<10:00,  5.13it/s]
loss=0.1473 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1716/4800 [06:22<10:00,  5.13it/s]
loss=0.1473 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1717/4800 [06:22<09:33,  5.38it/s]
loss=0.1375 (0.1415) xyz.shape=torch.Size([359680, 3]): :  36% 1717/4800 [06:23<09:33,  5.38it/s]
loss=0.1375 (0.1415) xyz.shape=torch.Size([359680, 3]): :  36% 1718/4800 [06:23<12:53,  3.98it/s]
loss=0.1425 (0.1415) xyz.shape=torch.Size([355072, 3]): :  36% 1718/4800 [06:23<12:53,  3.98it/s]
loss=0.1425 (0.1415) xyz.shape=torch.Size([355072, 3]): :  36% 1719/4800 [06:23<11:38,  4.41it/s]
loss=0.1530 (0.1415) xyz.shape=torch.Size([365440, 3]): :  36% 1719/4800 [06:23<11:38,  4.41it/s]
loss=0.1530 (0.1415) xyz.shape=torch.Size([365440, 3]): :  36% 1720/4800 [06:23<10:44,  4.78it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([363392, 3]): :  36% 1720/4800 [06:23<10:44,  4.78it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([363392, 3]): :  36% 1721/4800 [06:23<10:05,  5.08it/s]
loss=0.1439 (0.1415) xyz.shape=torch.Size([354304, 3]): :  36% 1721/4800 [06:23<10:05,  5.08it/s]
loss=0.1439 (0.1415) xyz.shape=torch.Size([354304, 3]): :  36% 1722/4800 [06:23<09:37,  5.33it/s]
loss=0.1466 (0.1415) xyz.shape=torch.Size([356224, 3]): :  36% 1722/4800 [06:24<09:37,  5.33it/s]
loss=0.1466 (0.1415) xyz.shape=torch.Size([356224, 3]): :  36% 1723/4800 [06:24<13:17,  3.86it/s]
loss=0.1435 (0.1415) xyz.shape=torch.Size([352256, 3]): :  36% 1723/4800 [06:24<13:17,  3.86it/s]
loss=0.1435 (0.1415) xyz.shape=torch.Size([352256, 3]): :  36% 1724/4800 [06:24<11:51,  4.32it/s]
loss=0.1453 (0.1415) xyz.shape=torch.Size([356224, 3]): :  36% 1724/4800 [06:24<11:51,  4.32it/s]
loss=0.1453 (0.1415) xyz.shape=torch.Size([356224, 3]): :  36% 1725/4800 [06:24<10:52,  4.71it/s]
loss=0.1397 (0.1415) xyz.shape=torch.Size([358784, 3]): :  36% 1725/4800 [06:24<10:52,  4.71it/s]
loss=0.1397 (0.1415) xyz.shape=torch.Size([358784, 3]): :  36% 1726/4800 [06:24<10:09,  5.04it/s]
loss=0.1354 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1726/4800 [06:24<10:09,  5.04it/s]
loss=0.1354 (0.1415) xyz.shape=torch.Size([356992, 3]): :  36% 1727/4800 [06:24<09:39,  5.30it/s]
loss=0.1418 (0.1415) xyz.shape=torch.Size([358784, 3]): :  36% 1727/4800 [06:25<09:39,  5.30it/s]
loss=0.1418 (0.1415) xyz.shape=torch.Size([358784, 3]): :  36% 1728/4800 [06:25<09:17,  5.51it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([358016, 3]): :  36% 1728/4800 [06:25<09:17,  5.51it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([358016, 3]): :  36% 1729/4800 [06:25<12:37,  4.05it/s]
loss=0.1363 (0.1415) xyz.shape=torch.Size([357504, 3]): :  36% 1729/4800 [06:25<12:37,  4.05it/s]
loss=0.1363 (0.1415) xyz.shape=torch.Size([357504, 3]): :  36% 1730/4800 [06:25<11:21,  4.50it/s]
loss=0.1416 (0.1415) xyz.shape=torch.Size([350976, 3]): :  36% 1730/4800 [06:25<11:21,  4.50it/s]
loss=0.1416 (0.1415) xyz.shape=torch.Size([350976, 3]): :  36% 1731/4800 [06:25<10:29,  4.88it/s]
loss=0.1317 (0.1415) xyz.shape=torch.Size([354560, 3]): :  36% 1731/4800 [06:26<10:29,  4.88it/s]
loss=0.1317 (0.1415) xyz.shape=torch.Size([354560, 3]): :  36% 1732/4800 [06:26<09:51,  5.18it/s]
loss=0.1407 (0.1415) xyz.shape=torch.Size([352640, 3]): :  36% 1732/4800 [06:26<09:51,  5.18it/s]
loss=0.1407 (0.1415) xyz.shape=torch.Size([352640, 3]): :  36% 1733/4800 [06:26<09:24,  5.43it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([350976, 3]): :  36% 1733/4800 [06:26<09:24,  5.43it/s]
loss=0.1455 (0.1415) xyz.shape=torch.Size([350976, 3]): :  36% 1734/4800 [06:26<13:29,  3.79it/s]
loss=0.1473 (0.1415) xyz.shape=torch.Size([349184, 3]): :  36% 1734/4800 [06:26<13:29,  3.79it/s]
loss=0.1473 (0.1415) xyz.shape=torch.Size([349184, 3]): :  36% 1735/4800 [06:26<11:56,  4.28it/s]
loss=0.1465 (0.1415) xyz.shape=torch.Size([346624, 3]): :  36% 1735/4800 [06:26<11:56,  4.28it/s]
loss=0.1465 (0.1415) xyz.shape=torch.Size([346624, 3]): :  36% 1736/4800 [06:26<10:52,  4.70it/s]
loss=0.1430 (0.1415) xyz.shape=torch.Size([345856, 3]): :  36% 1736/4800 [06:27<10:52,  4.70it/s]
loss=0.1430 (0.1415) xyz.shape=torch.Size([345856, 3]): :  36% 1737/4800 [06:27<10:06,  5.05it/s]
loss=0.1476 (0.1415) xyz.shape=torch.Size([351744, 3]): :  36% 1737/4800 [06:27<10:06,  5.05it/s]
loss=0.1476 (0.1415) xyz.shape=torch.Size([351744, 3]): :  36% 1738/4800 [06:27<09:34,  5.33it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([353408, 3]): :  36% 1738/4800 [06:27<09:34,  5.33it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([353408, 3]): :  36% 1739/4800 [06:27<13:27,  3.79it/s]
loss=0.1396 (0.1415) xyz.shape=torch.Size([348160, 3]): :  36% 1739/4800 [06:27<13:27,  3.79it/s]
loss=0.1396 (0.1415) xyz.shape=torch.Size([348160, 3]): :  36% 1740/4800 [06:27<11:54,  4.28it/s]
loss=0.1453 (0.1415) xyz.shape=torch.Size([347648, 3]): :  36% 1740/4800 [06:28<11:54,  4.28it/s]
loss=0.1453 (0.1415) xyz.shape=torch.Size([347648, 3]): :  36% 1741/4800 [06:28<10:50,  4.70it/s]
loss=0.1520 (0.1415) xyz.shape=torch.Size([348032, 3]): :  36% 1741/4800 [06:28<10:50,  4.70it/s]
loss=0.1520 (0.1415) xyz.shape=torch.Size([348032, 3]): :  36% 1742/4800 [06:28<10:04,  5.06it/s]
loss=0.1412 (0.1415) xyz.shape=torch.Size([352256, 3]): :  36% 1742/4800 [06:28<10:04,  5.06it/s]
loss=0.1412 (0.1415) xyz.shape=torch.Size([352256, 3]): :  36% 1743/4800 [06:28<09:31,  5.35it/s]
loss=0.1407 (0.1415) xyz.shape=torch.Size([355072, 3]): :  36% 1743/4800 [06:28<09:31,  5.35it/s]
loss=0.1407 (0.1415) xyz.shape=torch.Size([355072, 3]): :  36% 1744/4800 [06:28<12:41,  4.02it/s]
loss=0.1433 (0.1415) xyz.shape=torch.Size([347904, 3]): :  36% 1744/4800 [06:28<12:41,  4.02it/s]
loss=0.1433 (0.1415) xyz.shape=torch.Size([347904, 3]): :  36% 1745/4800 [06:28<11:19,  4.49it/s]
loss=0.1459 (0.1415) xyz.shape=torch.Size([349952, 3]): :  36% 1745/4800 [06:29<11:19,  4.49it/s]
loss=0.1459 (0.1415) xyz.shape=torch.Size([349952, 3]): :  36% 1746/4800 [06:29<10:23,  4.90it/s]
loss=0.1507 (0.1415) xyz.shape=torch.Size([354816, 3]): :  36% 1746/4800 [06:29<10:23,  4.90it/s]
loss=0.1507 (0.1415) xyz.shape=torch.Size([354816, 3]): :  36% 1747/4800 [06:29<09:46,  5.21it/s]
loss=0.1428 (0.1415) xyz.shape=torch.Size([354432, 3]): :  36% 1747/4800 [06:29<09:46,  5.21it/s]
loss=0.1428 (0.1415) xyz.shape=torch.Size([354432, 3]): :  36% 1748/4800 [06:29<09:19,  5.45it/s]
loss=0.1460 (0.1415) xyz.shape=torch.Size([342272, 3]): :  36% 1748/4800 [06:29<09:19,  5.45it/s]
loss=0.1460 (0.1415) xyz.shape=torch.Size([342272, 3]): :  36% 1749/4800 [06:29<13:42,  3.71it/s]
loss=0.1495 (0.1415) xyz.shape=torch.Size([355840, 3]): :  36% 1749/4800 [06:30<13:42,  3.71it/s]
loss=0.1495 (0.1415) xyz.shape=torch.Size([355840, 3]): :  36% 1750/4800 [06:30<12:03,  4.22it/s]
loss=0.1432 (0.1415) xyz.shape=torch.Size([353792, 3]): :  36% 1750/4800 [06:30<12:03,  4.22it/s]
loss=0.1432 (0.1415) xyz.shape=torch.Size([353792, 3]): :  36% 1751/4800 [06:30<10:54,  4.66it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([348928, 3]): :  36% 1751/4800 [06:30<10:54,  4.66it/s]
loss=0.1413 (0.1415) xyz.shape=torch.Size([348928, 3]): :  36% 1752/4800 [06:30<10:05,  5.03it/s]
loss=0.1421 (0.1415) xyz.shape=torch.Size([345856, 3]): :  36% 1752/4800 [06:30<10:05,  5.03it/s]
loss=0.1421 (0.1415) xyz.shape=torch.Size([345856, 3]): :  37% 1753/4800 [06:30<09:30,  5.34it/s]
loss=0.1363 (0.1415) xyz.shape=torch.Size([352512, 3]): :  37% 1753/4800 [06:30<09:30,  5.34it/s]
loss=0.1363 (0.1415) xyz.shape=torch.Size([352512, 3]): :  37% 1754/4800 [06:30<12:45,  3.98it/s]
loss=0.1450 (0.1415) xyz.shape=torch.Size([348544, 3]): :  37% 1754/4800 [06:31<12:45,  3.98it/s]
loss=0.1450 (0.1415) xyz.shape=torch.Size([348544, 3]): :  37% 1755/4800 [06:31<11:23,  4.45it/s]
loss=0.1416 (0.1415) xyz.shape=torch.Size([349312, 3]): :  37% 1755/4800 [06:31<11:23,  4.45it/s]
loss=0.1416 (0.1415) xyz.shape=torch.Size([349312, 3]): :  37% 1756/4800 [06:31<10:25,  4.87it/s]
loss=0.1430 (0.1415) xyz.shape=torch.Size([351360, 3]): :  37% 1756/4800 [06:31<10:25,  4.87it/s]
loss=0.1430 (0.1415) xyz.shape=torch.Size([351360, 3]): :  37% 1757/4800 [06:31<09:45,  5.20it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([353920, 3]): :  37% 1757/4800 [06:31<09:45,  5.20it/s]
loss=0.1471 (0.1415) xyz.shape=torch.Size([353920, 3]): :  37% 1758/4800 [06:31<09:17,  5.46it/s]
loss=0.1389 (0.1415) xyz.shape=torch.Size([355456, 3]): :  37% 1758/4800 [06:32<09:17,  5.46it/s]
loss=0.1389 (0.1415) xyz.shape=torch.Size([355456, 3]): :  37% 1759/4800 [06:32<12:29,  4.06it/s]
loss=0.1466 (0.1415) xyz.shape=torch.Size([350720, 3]): :  37% 1759/4800 [06:32<12:29,  4.06it/s]
loss=0.1466 (0.1415) xyz.shape=torch.Size([350720, 3]): :  37% 1760/4800 [06:32<11:10,  4.53it/s]
loss=0.1428 (0.1415) xyz.shape=torch.Size([355072, 3]): :  37% 1760/4800 [06:32<11:10,  4.53it/s]
