nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.0019 (0.0024): :  96% 4617/4800 [22:07<00:48,  3.76it/s]
loss=0.0019 (0.0024): :  96% 4618/4800 [22:07<00:46,  3.89it/s]
loss=0.0022 (0.0024): :  96% 4618/4800 [22:07<00:46,  3.89it/s]
loss=0.0022 (0.0024): :  96% 4619/4800 [22:07<00:58,  3.11it/s]
loss=0.0023 (0.0024): :  96% 4619/4800 [22:08<00:58,  3.11it/s]
loss=0.0023 (0.0024): :  96% 4620/4800 [22:08<00:53,  3.37it/s]
loss=0.0023 (0.0024): :  96% 4620/4800 [22:08<00:53,  3.37it/s]
loss=0.0023 (0.0024): :  96% 4621/4800 [22:08<00:49,  3.59it/s]
loss=0.0026 (0.0024): :  96% 4621/4800 [22:08<00:49,  3.59it/s]
loss=0.0026 (0.0024): :  96% 4622/4800 [22:08<00:47,  3.76it/s]
loss=0.0024 (0.0024): :  96% 4622/4800 [22:08<00:47,  3.76it/s]
loss=0.0024 (0.0024): :  96% 4623/4800 [22:08<00:45,  3.89it/s]
loss=0.0020 (0.0024): :  96% 4623/4800 [22:09<00:45,  3.89it/s]
loss=0.0020 (0.0024): :  96% 4624/4800 [22:09<00:44,  3.98it/s]
loss=0.0028 (0.0024): :  96% 4624/4800 [22:09<00:44,  3.98it/s]
loss=0.0028 (0.0024): :  96% 4625/4800 [22:09<00:55,  3.16it/s]
loss=0.0025 (0.0024): :  96% 4625/4800 [22:09<00:55,  3.16it/s]
loss=0.0025 (0.0024): :  96% 4626/4800 [22:09<00:51,  3.38it/s]
loss=0.0023 (0.0024): :  96% 4626/4800 [22:10<00:51,  3.38it/s]
loss=0.0023 (0.0024): :  96% 4627/4800 [22:10<00:48,  3.60it/s]
loss=0.0022 (0.0024): :  96% 4627/4800 [22:10<00:48,  3.60it/s]
loss=0.0022 (0.0024): :  96% 4628/4800 [22:10<00:45,  3.77it/s]
loss=0.0023 (0.0024): :  96% 4628/4800 [22:10<00:45,  3.77it/s]
loss=0.0023 (0.0024): :  96% 4629/4800 [22:10<00:43,  3.89it/s]
loss=0.0026 (0.0024): :  96% 4629/4800 [22:10<00:43,  3.89it/s]
loss=0.0026 (0.0024): :  96% 4630/4800 [22:10<00:54,  3.12it/s]
loss=0.0025 (0.0024): :  96% 4630/4800 [22:11<00:54,  3.12it/s]
loss=0.0025 (0.0024): :  96% 4631/4800 [22:11<00:49,  3.39it/s]
loss=0.0027 (0.0024): :  96% 4631/4800 [22:11<00:49,  3.39it/s]
loss=0.0027 (0.0024): :  96% 4632/4800 [22:11<00:46,  3.60it/s]
loss=0.0027 (0.0024): :  96% 4632/4800 [22:11<00:46,  3.60it/s]
loss=0.0027 (0.0024): :  97% 4633/4800 [22:11<00:44,  3.77it/s]
loss=0.0022 (0.0024): :  97% 4633/4800 [22:11<00:44,  3.77it/s]
loss=0.0022 (0.0024): :  97% 4634/4800 [22:11<00:42,  3.89it/s]
loss=0.0023 (0.0024): :  97% 4634/4800 [22:12<00:42,  3.89it/s]
loss=0.0023 (0.0024): :  97% 4635/4800 [22:12<00:52,  3.12it/s]
loss=0.0020 (0.0024): :  97% 4635/4800 [22:12<00:52,  3.12it/s]
loss=0.0020 (0.0024): :  97% 4636/4800 [22:12<00:48,  3.38it/s]
loss=0.0022 (0.0024): :  97% 4636/4800 [22:12<00:48,  3.38it/s]
loss=0.0022 (0.0024): :  97% 4637/4800 [22:12<00:45,  3.60it/s]
loss=0.0024 (0.0024): :  97% 4637/4800 [22:13<00:45,  3.60it/s]
loss=0.0024 (0.0024): :  97% 4638/4800 [22:13<00:43,  3.76it/s]
loss=0.0023 (0.0024): :  97% 4638/4800 [22:13<00:43,  3.76it/s]
loss=0.0023 (0.0024): :  97% 4639/4800 [22:13<00:41,  3.89it/s]
loss=0.0021 (0.0024): :  97% 4639/4800 [22:13<00:41,  3.89it/s]
loss=0.0021 (0.0024): :  97% 4640/4800 [22:13<00:51,  3.12it/s]
loss=0.0023 (0.0024): :  97% 4640/4800 [22:14<00:51,  3.12it/s]
loss=0.0023 (0.0024): :  97% 4641/4800 [22:14<00:46,  3.38it/s]
loss=0.0024 (0.0024): :  97% 4641/4800 [22:14<00:46,  3.38it/s]
loss=0.0024 (0.0024): :  97% 4642/4800 [22:14<00:43,  3.60it/s]
loss=0.0020 (0.0024): :  97% 4642/4800 [22:14<00:43,  3.60it/s]
loss=0.0020 (0.0024): :  97% 4643/4800 [22:14<00:41,  3.77it/s]
loss=0.0026 (0.0024): :  97% 4643/4800 [22:14<00:41,  3.77it/s]
loss=0.0026 (0.0024): :  97% 4644/4800 [22:14<00:40,  3.89it/s]
loss=0.0022 (0.0024): :  97% 4644/4800 [22:15<00:40,  3.89it/s]
loss=0.0022 (0.0024): :  97% 4645/4800 [22:15<00:49,  3.11it/s]
loss=0.0025 (0.0024): :  97% 4645/4800 [22:15<00:49,  3.11it/s]
loss=0.0025 (0.0024): :  97% 4646/4800 [22:15<00:45,  3.38it/s]
loss=0.0025 (0.0024): :  97% 4646/4800 [22:15<00:45,  3.38it/s]
loss=0.0025 (0.0024): :  97% 4647/4800 [22:15<00:42,  3.59it/s]
loss=0.0020 (0.0024): :  97% 4647/4800 [22:15<00:42,  3.59it/s]
loss=0.0020 (0.0024): :  97% 4648/4800 [22:15<00:40,  3.76it/s]
loss=0.0020 (0.0024): :  97% 4648/4800 [22:16<00:40,  3.76it/s]
loss=0.0020 (0.0024): :  97% 4649/4800 [22:16<00:38,  3.89it/s]
loss=0.0024 (0.0024): :  97% 4649/4800 [22:16<00:38,  3.89it/s]
loss=0.0024 (0.0024): :  97% 4650/4800 [22:16<00:48,  3.10it/s]
loss=0.0020 (0.0024): :  97% 4650/4800 [22:16<00:48,  3.10it/s]
loss=0.0020 (0.0024): :  97% 4651/4800 [22:16<00:44,  3.37it/s]
loss=0.0024 (0.0024): :  97% 4651/4800 [22:17<00:44,  3.37it/s]
loss=0.0024 (0.0024): :  97% 4652/4800 [22:17<00:41,  3.59it/s]
loss=0.0021 (0.0024): :  97% 4652/4800 [22:17<00:41,  3.59it/s]
loss=0.0021 (0.0024): :  97% 4653/4800 [22:17<00:39,  3.75it/s]
loss=0.0021 (0.0024): :  97% 4653/4800 [22:17<00:39,  3.75it/s]
loss=0.0021 (0.0024): :  97% 4654/4800 [22:17<00:37,  3.88it/s]
loss=0.0025 (0.0024): :  97% 4654/4800 [22:18<00:37,  3.88it/s]
loss=0.0025 (0.0024): :  97% 4655/4800 [22:18<00:46,  3.10it/s]
loss=0.0020 (0.0024): :  97% 4655/4800 [22:18<00:46,  3.10it/s]
loss=0.0020 (0.0024): :  97% 4656/4800 [22:18<00:42,  3.37it/s]
loss=0.0023 (0.0024): :  97% 4656/4800 [22:18<00:42,  3.37it/s]
loss=0.0023 (0.0024): :  97% 4657/4800 [22:18<00:39,  3.59it/s]
loss=0.0024 (0.0024): :  97% 4657/4800 [22:18<00:39,  3.59it/s]
loss=0.0024 (0.0024): :  97% 4658/4800 [22:18<00:37,  3.76it/s]
loss=0.0023 (0.0024): :  97% 4658/4800 [22:19<00:37,  3.76it/s]
loss=0.0023 (0.0024): :  97% 4659/4800 [22:19<00:36,  3.88it/s]
loss=0.0023 (0.0024): :  97% 4659/4800 [22:19<00:36,  3.88it/s]
loss=0.0023 (0.0024): :  97% 4660/4800 [22:19<00:45,  3.10it/s]
loss=0.0025 (0.0024): :  97% 4660/4800 [22:19<00:45,  3.10it/s]
loss=0.0025 (0.0024): :  97% 4661/4800 [22:19<00:41,  3.37it/s]
loss=0.0022 (0.0024): :  97% 4661/4800 [22:19<00:41,  3.37it/s]
loss=0.0022 (0.0024): :  97% 4662/4800 [22:19<00:38,  3.59it/s]
loss=0.0023 (0.0024): :  97% 4662/4800 [22:20<00:38,  3.59it/s]
loss=0.0023 (0.0024): :  97% 4663/4800 [22:20<00:36,  3.75it/s]
loss=0.0026 (0.0024): :  97% 4663/4800 [22:20<00:36,  3.75it/s]
loss=0.0026 (0.0024): :  97% 4664/4800 [22:20<00:35,  3.88it/s]
loss=0.0024 (0.0024): :  97% 4664/4800 [22:20<00:35,  3.88it/s]
loss=0.0024 (0.0024): :  97% 4665/4800 [22:20<00:43,  3.09it/s]
loss=0.0021 (0.0024): :  97% 4665/4800 [22:21<00:43,  3.09it/s]
loss=0.0021 (0.0024): :  97% 4666/4800 [22:21<00:39,  3.36it/s]
loss=0.0024 (0.0024): :  97% 4666/4800 [22:21<00:39,  3.36it/s]
loss=0.0024 (0.0024): :  97% 4667/4800 [22:21<00:37,  3.58it/s]
loss=0.0020 (0.0024): :  97% 4667/4800 [22:21<00:37,  3.58it/s]
loss=0.0020 (0.0024): :  97% 4668/4800 [22:21<00:35,  3.75it/s]
loss=0.0030 (0.0024): :  97% 4668/4800 [22:21<00:35,  3.75it/s]
loss=0.0030 (0.0024): :  97% 4669/4800 [22:21<00:33,  3.87it/s]
loss=0.0022 (0.0024): :  97% 4669/4800 [22:22<00:33,  3.87it/s]
loss=0.0022 (0.0024): :  97% 4670/4800 [22:22<00:41,  3.10it/s]
loss=0.0019 (0.0024): :  97% 4670/4800 [22:22<00:41,  3.10it/s]
loss=0.0019 (0.0024): :  97% 4671/4800 [22:22<00:38,  3.37it/s]
loss=0.0022 (0.0024): :  97% 4671/4800 [22:22<00:38,  3.37it/s]
loss=0.0022 (0.0024): :  97% 4672/4800 [22:22<00:35,  3.58it/s]
loss=0.0020 (0.0024): :  97% 4672/4800 [22:23<00:35,  3.58it/s]
loss=0.0020 (0.0024): :  97% 4673/4800 [22:23<00:33,  3.75it/s]
loss=0.0020 (0.0024): :  97% 4673/4800 [22:23<00:33,  3.75it/s]
loss=0.0020 (0.0024): :  97% 4674/4800 [22:23<00:32,  3.89it/s]
loss=0.0021 (0.0024): :  97% 4674/4800 [22:23<00:32,  3.89it/s]
loss=0.0021 (0.0024): :  97% 4675/4800 [22:23<00:31,  3.99it/s]
loss=0.0023 (0.0024): :  97% 4675/4800 [22:23<00:31,  3.99it/s]
loss=0.0023 (0.0024): :  97% 4676/4800 [22:23<00:39,  3.15it/s]
loss=0.0023 (0.0024): :  97% 4676/4800 [22:24<00:39,  3.15it/s]
loss=0.0023 (0.0024): :  97% 4677/4800 [22:24<00:36,  3.41it/s]
loss=0.0024 (0.0024): :  97% 4677/4800 [22:24<00:36,  3.41it/s]
loss=0.0024 (0.0024): :  97% 4678/4800 [22:24<00:33,  3.62it/s]
loss=0.0023 (0.0024): :  97% 4678/4800 [22:24<00:33,  3.62it/s]
loss=0.0023 (0.0024): :  97% 4679/4800 [22:24<00:31,  3.78it/s]
loss=0.0021 (0.0024): :  97% 4679/4800 [22:24<00:31,  3.78it/s]
loss=0.0021 (0.0024): :  98% 4680/4800 [22:24<00:30,  3.91it/s]
loss=0.0026 (0.0024): :  98% 4680/4800 [22:25<00:30,  3.91it/s]
loss=0.0026 (0.0024): :  98% 4681/4800 [22:25<00:38,  3.13it/s]
loss=0.0025 (0.0024): :  98% 4681/4800 [22:25<00:38,  3.13it/s]
loss=0.0025 (0.0024): :  98% 4682/4800 [22:25<00:34,  3.40it/s]
loss=0.0027 (0.0024): :  98% 4682/4800 [22:25<00:34,  3.40it/s]
loss=0.0027 (0.0024): :  98% 4683/4800 [22:25<00:32,  3.61it/s]
loss=0.0019 (0.0024): :  98% 4683/4800 [22:26<00:32,  3.61it/s]
loss=0.0019 (0.0024): :  98% 4684/4800 [22:26<00:30,  3.77it/s]
loss=0.0024 (0.0024): :  98% 4684/4800 [22:26<00:30,  3.77it/s]
loss=0.0024 (0.0024): :  98% 4685/4800 [22:26<00:29,  3.90it/s]
loss=0.0023 (0.0024): :  98% 4685/4800 [22:26<00:29,  3.90it/s]
loss=0.0023 (0.0024): :  98% 4686/4800 [22:26<00:36,  3.12it/s]
loss=0.0019 (0.0024): :  98% 4686/4800 [22:27<00:36,  3.12it/s]
loss=0.0019 (0.0024): :  98% 4687/4800 [22:27<00:33,  3.39it/s]
loss=0.0022 (0.0024): :  98% 4687/4800 [22:27<00:33,  3.39it/s]
loss=0.0022 (0.0024): :  98% 4688/4800 [22:27<00:31,  3.60it/s]
loss=0.0022 (0.0024): :  98% 4688/4800 [22:27<00:31,  3.60it/s]
loss=0.0022 (0.0024): :  98% 4689/4800 [22:27<00:29,  3.77it/s]
loss=0.0019 (0.0024): :  98% 4689/4800 [22:27<00:29,  3.77it/s]
loss=0.0019 (0.0024): :  98% 4690/4800 [22:27<00:28,  3.90it/s]
loss=0.0022 (0.0024): :  98% 4690/4800 [22:28<00:28,  3.90it/s]
loss=0.0022 (0.0024): :  98% 4691/4800 [22:28<00:35,  3.11it/s]
loss=0.0023 (0.0024): :  98% 4691/4800 [22:28<00:35,  3.11it/s]
loss=0.0023 (0.0024): :  98% 4692/4800 [22:28<00:32,  3.37it/s]
loss=0.0022 (0.0024): :  98% 4692/4800 [22:28<00:32,  3.37it/s]
loss=0.0022 (0.0024): :  98% 4693/4800 [22:28<00:29,  3.59it/s]
loss=0.0027 (0.0024): :  98% 4693/4800 [22:28<00:29,  3.59it/s]
loss=0.0027 (0.0024): :  98% 4694/4800 [22:28<00:28,  3.76it/s]
loss=0.0023 (0.0024): :  98% 4694/4800 [22:29<00:28,  3.76it/s]
loss=0.0023 (0.0024): :  98% 4695/4800 [22:29<00:27,  3.89it/s]
loss=0.0022 (0.0024): :  98% 4695/4800 [22:29<00:27,  3.89it/s]
loss=0.0022 (0.0024): :  98% 4696/4800 [22:29<00:33,  3.12it/s]
loss=0.0021 (0.0024): :  98% 4696/4800 [22:29<00:33,  3.12it/s]
loss=0.0021 (0.0024): :  98% 4697/4800 [22:29<00:30,  3.38it/s]
loss=0.0023 (0.0024): :  98% 4697/4800 [22:30<00:30,  3.38it/s]
loss=0.0023 (0.0024): :  98% 4698/4800 [22:30<00:28,  3.60it/s]
loss=0.0025 (0.0024): :  98% 4698/4800 [22:30<00:28,  3.60it/s]
loss=0.0025 (0.0024): :  98% 4699/4800 [22:30<00:26,  3.77it/s]
loss=0.0023 (0.0024): :  98% 4699/4800 [22:30<00:26,  3.77it/s]
loss=0.0023 (0.0024): :  98% 4700/4800 [22:30<00:25,  3.90it/s]
loss=0.0021 (0.0024): :  98% 4700/4800 [22:31<00:25,  3.90it/s]
loss=0.0021 (0.0024): :  98% 4701/4800 [22:31<00:31,  3.12it/s]
loss=0.0024 (0.0024): :  98% 4701/4800 [22:31<00:31,  3.12it/s]
loss=0.0024 (0.0024): :  98% 4702/4800 [22:31<00:29,  3.38it/s]
loss=0.0024 (0.0024): :  98% 4702/4800 [22:31<00:29,  3.38it/s]
loss=0.0024 (0.0024): :  98% 4703/4800 [22:31<00:27,  3.56it/s]
loss=0.0022 (0.0024): :  98% 4703/4800 [22:31<00:27,  3.56it/s]
loss=0.0022 (0.0024): :  98% 4704/4800 [22:31<00:25,  3.71it/s]
loss=0.0022 (0.0024): :  98% 4704/4800 [22:32<00:25,  3.71it/s]
loss=0.0022 (0.0024): :  98% 4705/4800 [22:32<00:24,  3.83it/s]
loss=0.0023 (0.0024): :  98% 4705/4800 [22:32<00:24,  3.83it/s]
loss=0.0023 (0.0024): :  98% 4706/4800 [22:32<00:30,  3.07it/s]
loss=0.0017 (0.0024): :  98% 4706/4800 [22:32<00:30,  3.07it/s]
loss=0.0017 (0.0024): :  98% 4707/4800 [22:32<00:27,  3.33it/s]
loss=0.0024 (0.0024): :  98% 4707/4800 [22:32<00:27,  3.33it/s]
loss=0.0024 (0.0024): :  98% 4708/4800 [22:32<00:25,  3.54it/s]
loss=0.0022 (0.0024): :  98% 4708/4800 [22:33<00:25,  3.54it/s]
loss=0.0022 (0.0024): :  98% 4709/4800 [22:33<00:24,  3.71it/s]
loss=0.0029 (0.0024): :  98% 4709/4800 [22:33<00:24,  3.71it/s]
loss=0.0029 (0.0024): :  98% 4710/4800 [22:33<00:23,  3.84it/s]
loss=0.0027 (0.0024): :  98% 4710/4800 [22:33<00:23,  3.84it/s]
loss=0.0027 (0.0024): :  98% 4711/4800 [22:33<00:28,  3.08it/s]
loss=0.0025 (0.0024): :  98% 4711/4800 [22:34<00:28,  3.08it/s]
loss=0.0025 (0.0024): :  98% 4712/4800 [22:34<00:26,  3.32it/s]
loss=0.0020 (0.0024): :  98% 4712/4800 [22:34<00:26,  3.32it/s]
loss=0.0020 (0.0024): :  98% 4713/4800 [22:34<00:24,  3.54it/s]
loss=0.0020 (0.0024): :  98% 4713/4800 [22:34<00:24,  3.54it/s]
loss=0.0020 (0.0024): :  98% 4714/4800 [22:34<00:23,  3.71it/s]
loss=0.0022 (0.0024): :  98% 4714/4800 [22:34<00:23,  3.71it/s]
loss=0.0022 (0.0024): :  98% 4715/4800 [22:34<00:22,  3.81it/s]
loss=0.0025 (0.0024): :  98% 4715/4800 [22:35<00:22,  3.81it/s]
loss=0.0025 (0.0024): :  98% 4716/4800 [22:35<00:27,  3.05it/s]
loss=0.0021 (0.0024): :  98% 4716/4800 [22:35<00:27,  3.05it/s]
loss=0.0021 (0.0024): :  98% 4717/4800 [22:35<00:25,  3.30it/s]
loss=0.0022 (0.0024): :  98% 4717/4800 [22:35<00:25,  3.30it/s]
loss=0.0022 (0.0024): :  98% 4718/4800 [22:35<00:23,  3.51it/s]
loss=0.0022 (0.0024): :  98% 4718/4800 [22:36<00:23,  3.51it/s]
loss=0.0022 (0.0024): :  98% 4719/4800 [22:36<00:22,  3.67it/s]
loss=0.0021 (0.0024): :  98% 4719/4800 [22:36<00:22,  3.67it/s]
loss=0.0021 (0.0024): :  98% 4720/4800 [22:36<00:21,  3.80it/s]
loss=0.0025 (0.0024): :  98% 4720/4800 [22:36<00:21,  3.80it/s]
loss=0.0025 (0.0024): :  98% 4721/4800 [22:36<00:25,  3.05it/s]
loss=0.0024 (0.0024): :  98% 4721/4800 [22:37<00:25,  3.05it/s]
loss=0.0024 (0.0024): :  98% 4722/4800 [22:37<00:23,  3.31it/s]
loss=0.0024 (0.0024): :  98% 4722/4800 [22:37<00:23,  3.31it/s]
loss=0.0024 (0.0024): :  98% 4723/4800 [22:37<00:21,  3.52it/s]
loss=0.0024 (0.0024): :  98% 4723/4800 [22:37<00:21,  3.52it/s]
loss=0.0024 (0.0024): :  98% 4724/4800 [22:37<00:20,  3.69it/s]
loss=0.0022 (0.0024): :  98% 4724/4800 [22:37<00:20,  3.69it/s]
loss=0.0022 (0.0024): :  98% 4725/4800 [22:37<00:19,  3.82it/s]
loss=0.0024 (0.0024): :  98% 4725/4800 [22:38<00:19,  3.82it/s]
loss=0.0024 (0.0024): :  98% 4726/4800 [22:38<00:18,  3.90it/s]
loss=0.0024 (0.0024): :  98% 4726/4800 [22:38<00:18,  3.90it/s]
loss=0.0024 (0.0024): :  98% 4727/4800 [22:38<00:24,  3.04it/s]
loss=0.0024 (0.0024): :  98% 4727/4800 [22:38<00:24,  3.04it/s]
loss=0.0024 (0.0024): :  98% 4728/4800 [22:38<00:21,  3.29it/s]
loss=0.0029 (0.0024): :  98% 4728/4800 [22:39<00:21,  3.29it/s]
loss=0.0029 (0.0024): :  99% 4729/4800 [22:39<00:20,  3.50it/s]
loss=0.0020 (0.0024): :  99% 4729/4800 [22:39<00:20,  3.50it/s]
loss=0.0020 (0.0024): :  99% 4730/4800 [22:39<00:19,  3.66it/s]
loss=0.0019 (0.0024): :  99% 4730/4800 [22:39<00:19,  3.66it/s]
loss=0.0019 (0.0024): :  99% 4731/4800 [22:39<00:18,  3.79it/s]
loss=0.0022 (0.0024): :  99% 4731/4800 [22:39<00:18,  3.79it/s]
loss=0.0022 (0.0024): :  99% 4732/4800 [22:39<00:22,  3.08it/s]
loss=0.0025 (0.0024): :  99% 4732/4800 [22:40<00:22,  3.08it/s]
loss=0.0025 (0.0024): :  99% 4733/4800 [22:40<00:20,  3.34it/s]
loss=0.0024 (0.0024): :  99% 4733/4800 [22:40<00:20,  3.34it/s]
loss=0.0024 (0.0024): :  99% 4734/4800 [22:40<00:18,  3.55it/s]
loss=0.0017 (0.0024): :  99% 4734/4800 [22:40<00:18,  3.55it/s]
loss=0.0017 (0.0024): :  99% 4735/4800 [22:40<00:17,  3.71it/s]
loss=0.0022 (0.0024): :  99% 4735/4800 [22:40<00:17,  3.71it/s]
loss=0.0022 (0.0024): :  99% 4736/4800 [22:40<00:16,  3.84it/s]
loss=0.0026 (0.0024): :  99% 4736/4800 [22:41<00:16,  3.84it/s]
loss=0.0026 (0.0024): :  99% 4737/4800 [22:41<00:21,  2.86it/s]
loss=0.0020 (0.0024): :  99% 4737/4800 [22:41<00:21,  2.86it/s]
loss=0.0020 (0.0024): :  99% 4738/4800 [22:41<00:19,  3.16it/s]
loss=0.0026 (0.0024): :  99% 4738/4800 [22:41<00:19,  3.16it/s]
loss=0.0026 (0.0024): :  99% 4739/4800 [22:41<00:17,  3.41it/s]
loss=0.0023 (0.0024): :  99% 4739/4800 [22:42<00:17,  3.41it/s]
loss=0.0023 (0.0024): :  99% 4740/4800 [22:42<00:16,  3.61it/s]
loss=0.0022 (0.0024): :  99% 4740/4800 [22:42<00:16,  3.61it/s]
loss=0.0022 (0.0024): :  99% 4741/4800 [22:42<00:15,  3.76it/s]
loss=0.0021 (0.0024): :  99% 4741/4800 [22:42<00:15,  3.76it/s]
loss=0.0021 (0.0024): :  99% 4742/4800 [22:42<00:19,  3.05it/s]
loss=0.0025 (0.0024): :  99% 4742/4800 [22:43<00:19,  3.05it/s]
loss=0.0025 (0.0024): :  99% 4743/4800 [22:43<00:17,  3.32it/s]
loss=0.0023 (0.0024): :  99% 4743/4800 [22:43<00:17,  3.32it/s]
loss=0.0023 (0.0024): :  99% 4744/4800 [22:43<00:15,  3.54it/s]
loss=0.0017 (0.0024): :  99% 4744/4800 [22:43<00:15,  3.54it/s]
loss=0.0017 (0.0024): :  99% 4745/4800 [22:43<00:14,  3.71it/s]
loss=0.0028 (0.0024): :  99% 4745/4800 [22:43<00:14,  3.71it/s]
loss=0.0028 (0.0024): :  99% 4746/4800 [22:43<00:14,  3.84it/s]
loss=0.0023 (0.0024): :  99% 4746/4800 [22:44<00:14,  3.84it/s]
loss=0.0023 (0.0024): :  99% 4747/4800 [22:44<00:17,  3.09it/s]
loss=0.0022 (0.0024): :  99% 4747/4800 [22:44<00:17,  3.09it/s]
loss=0.0022 (0.0024): :  99% 4748/4800 [22:44<00:15,  3.35it/s]
loss=0.0020 (0.0024): :  99% 4748/4800 [22:44<00:15,  3.35it/s]
loss=0.0020 (0.0024): :  99% 4749/4800 [22:44<00:14,  3.56it/s]
loss=0.0023 (0.0024): :  99% 4749/4800 [22:45<00:14,  3.56it/s]
loss=0.0023 (0.0024): :  99% 4750/4800 [22:45<00:13,  3.74it/s]
loss=0.0023 (0.0024): :  99% 4750/4800 [22:45<00:13,  3.74it/s]
loss=0.0023 (0.0024): :  99% 4751/4800 [22:45<00:12,  3.87it/s]
loss=0.0021 (0.0024): :  99% 4751/4800 [22:45<00:12,  3.87it/s]
loss=0.0021 (0.0024): :  99% 4752/4800 [22:45<00:16,  2.84it/s]
loss=0.0022 (0.0024): :  99% 4752/4800 [22:46<00:16,  2.84it/s]
loss=0.0022 (0.0024): :  99% 4753/4800 [22:46<00:14,  3.14it/s]
loss=0.0029 (0.0024): :  99% 4753/4800 [22:46<00:14,  3.14it/s]
loss=0.0029 (0.0024): :  99% 4754/4800 [22:46<00:13,  3.40it/s]
loss=0.0025 (0.0024): :  99% 4754/4800 [22:46<00:13,  3.40it/s]
loss=0.0025 (0.0024): :  99% 4755/4800 [22:46<00:12,  3.60it/s]
loss=0.0023 (0.0024): :  99% 4755/4800 [22:46<00:12,  3.60it/s]
loss=0.0023 (0.0024): :  99% 4756/4800 [22:46<00:11,  3.76it/s]
loss=0.0025 (0.0024): :  99% 4756/4800 [22:47<00:11,  3.76it/s]
